Name,Unavailable,Phy,VS Strike,VS Slash,VS Pierce,Mag,Fir,Lit,Hol,Immunity,Robustness,Focus,Vitality,Poise,Wgt
Alberich's Bracers,,1.3,1,1.3,1.3,3.2,2.9,3.1,3.2,13,8,22,24,0,1.4
All-Knowing Gauntlets,,3.2,2.9,3.3,2.9,3.1,2.3,2.5,2.1,9,15,7,7,4,3.5
Astrologer Gloves,,1.3,1,1,1,3.2,3.1,3.2,3.1,14,7,24,21,1,1.4
Azur's Manchettes,,1,0.1,0.6,0.6,3.4,2.8,2.9,3.2,12,8,22,20,0,1.1
Bandit Manchettes,,1.5,1.6,1.7,1.7,1.9,1.9,2.1,1.7,15,8,17,17,0,1.7
Banished Knight Gauntlets,x,4.7,3.7,4.9,4.4,3.3,3.3,3.2,3.3,20,28,13,14,6,5.8
Battlemage Manchettes,,1,1.3,0.6,1,3.2,2.8,2.9,3.1,13,7,0,22,0,1.1
Beast Champion Gauntlets,x,4.4,4.1,4.7,4.6,3.2,3.4,3.2,3.3,19,30,14,13,6,5.8
Black Knife Gauntlets,x,2.8,2.7,3.1,3.1,2.1,2.3,1.6,2.8,9,15,8,8,3,3.1
Blackflame Monk Gauntlets,x,3.3,2.8,3.6,3.2,2.5,3.2,1.9,2.5,11,18,7,11,4,3.9
Blaidd's Gauntlets,x,3.6,3.2,3.6,3.8,2.8,3.2,2.7,2.9,13,21,8,8,5,4.6
Bloodhound Knight Gauntlets,,3.1,2.8,3.5,3.3,2.3,2.5,1.7,2.5,11,17,8,8,3,3.5
Bloodsoaked Manchettes,,1.3,1.5,1,0.6,3.1,3.1,3.1,3.1,14,9,24,22,0,1.4
Blue Silver Bracelets,,2.3,1.5,2.5,1.9,1.9,1.6,1,1,4,14,0,4,0,2.1
Briar Gauntlets,,3.2,2.8,3.3,3.1,2.7,3.1,2.1,2.7,12,24,8,8,3,3.9
Bull-Goat Gauntlets,x,5.2,5.2,4.6,4.6,3.3,3.3,3.7,3.2,24,28,15,18,10,8.8
Carian Knight Gauntlets,,2.9,2.7,3.1,2.9,3.1,2.9,2.3,2.9,9,15,7,8,3,3.5
Champion Bracers,,1.6,2.1,1.7,1.9,1.9,2.3,2.5,2.3,17,11,14,13,1,2.1
Cleanrot Gauntlets,x,3.6,3.3,4,4.4,3.1,3.2,2.8,3.3,21,22,9,11,5,5
Confessor Gloves,,2.1,2.7,2.1,2.3,2.8,2.8,3.1,2.5,21,17,17,18,1,2.8
Crucible Gauntlets,x,4.4,3.4,4.2,4.2,3.2,3.2,2.8,3.3,17,24,12,12,6,5.2
Cuckoo Knight Gauntlets,,3.3,2.8,3.6,3.3,3.1,2.9,2.1,2.5,11,19,0,8,0,3.9
Depraved Perfumer Gloves,,1.5,1.5,1.4,1.2,3.2,3.1,3.1,3.1,23,8,0,28,0,2
Drake Knight Gauntlets,,2.8,2.3,2.9,2.8,2.5,2.8,2.1,2.5,8,15,0,7,0,3.1
Eccentric's Manchettes,,2.9,2.1,2.8,2.9,2.1,2.3,1.5,1.9,8,18,6,4,3,2.9
